;iteraciones;roc_vpk;roc_svk
0;5;0,5171378996472864;0,9720033564683126
1;10;0,6199581863693253;0,9720033564683126
2;20;0,8908436682216408;0,9720033564683126
3;40;0,9587125952895664;0,9720033564683126
